question,True/False,ActualAnswer,Language
Wurde Depois do Banho im Jahr 1932 fertiggestellt?,True,1932,DE
Wurde Carregadora de Perfume von Joseph Uphues erstellt?,False,Victor Brecheret,DE
Wurde Carregadora de Perfume im Jahr 1998 fertiggestellt?,True,1998,DE
Wurde Sepultamento von Emile Brunet erstellt?,False,Victor Brecheret,DE
Wurde Sepultamento im Jahr 1867 fertiggestellt?,False,1923,DE
Wurde Statue of Jan Ámos Komenský in Mladá Boleslav von Ladislav Šaloun erstellt?,True,Ladislav Šaloun,DE
Wurde Statue of Jan Ámos Komenský in Mladá Boleslav im Jahr 1928 fertiggestellt?,True,1928,DE
Wurde Monument to Gogol (Nikitsky Boulevard) von Martin Milmore erstellt?,False,Nikolai Andrejewitsch Andrejew,DE
Wurde Monument to Gogol (Nikitsky Boulevard) im Jahr 2000 fertiggestellt?,False,1909,DE
Wurde Statue of Lenin in Yerevan von Sergei Dmitrijewitsch Merkurow erstellt?,True,Sergei Dmitrijewitsch Merkurow,DE
Wurde Statue of Lenin in Yerevan im Jahr 1940 fertiggestellt?,True,1940,DE
Wurde Death of the Leader von Francesco da Sangallo erstellt?,False,Sergei Dmitrijewitsch Merkurow,DE
Wurde Death of the Leader im Jahr 1912 fertiggestellt?,False,1924,DE
Wurde Monument to Isabella I of Castile and Christopher Columbus von Mariano Benlliure erstellt?,True,Mariano Benlliure,DE
Wurde Monument to Isabella I of Castile and Christopher Columbus im Jahr 1877 fertiggestellt?,False,1892,DE
Wurde Heino Eller memorial von Allan Murdmaa erstellt?,True,Allan Murdmaa,DE
Wurde Heino Eller memorial im Jahr 1987 fertiggestellt?,True,1987,DE
Wurde Monument to Curros Enríquez von Charles Pêtre erstellt?,False,Francisco Asorey,DE
Wurde Monument to Curros Enríquez im Jahr 1881 fertiggestellt?,False,1934,DE
Wurde Monument to Ramón María Aller von Francisco Asorey erstellt?,True,Francisco Asorey,DE
Wurde Monument to Ramón María Aller im Jahr 1960 fertiggestellt?,True,1960,DE
Wurde Monument to Manuel Graña González von Lev Gumilevsky erstellt?,False,Francisco Asorey,DE
Wurde Monument to Manuel Graña González im Jahr 1957 fertiggestellt?,True,1957,DE
Wurde Monument to José Félix Soage Villarino von Karel Pokorný erstellt?,False,Francisco Asorey,DE
Wurde Monument to José Félix Soage Villarino im Jahr 2004 fertiggestellt?,False,1925,DE
Wurde Monument to García Barbón von Andrzej Renes erstellt?,False,Francisco Asorey,DE
Wurde Monument to García Barbón im Jahr 1927 fertiggestellt?,True,1927,DE
Wurde Monument to Vicente Carnota von Otakar Švec erstellt?,False,Francisco Asorey,DE
Wurde Monument to Vicente Carnota im Jahr 1925 fertiggestellt?,True,1925,DE
Wurde Monument to the Doctor Maximino Rodríguez Fornos von Francisco Asorey erstellt?,True,Francisco Asorey,DE
Wurde Monument to the Doctor Maximino Rodríguez Fornos im Jahr 1980 fertiggestellt?,False,1925,DE
Wurde Monument to Manuel Barreiro Cabanelas von Paul Mersmann der Ältere erstellt?,False,Francisco Asorey,DE
Wurde Monument to Manuel Barreiro Cabanelas im Jahr 1942 fertiggestellt?,True,1942,DE
Wurde Kahramana von Mohammed Ghani Hikmat erstellt?,True,Mohammed Ghani Hikmat,DE
Wurde Kahramana im Jahr 1891 fertiggestellt?,False,1971,DE
Wurde Ashaar Baghdad von Mohammed Ghani Hikmat erstellt?,True,Mohammed Ghani Hikmat,DE
Wurde Ashaar Baghdad im Jahr 2010 fertiggestellt?,True,2010,DE
Wurde Timthal Baghdad von Mohammed Ghani Hikmat erstellt?,True,Mohammed Ghani Hikmat,DE
Wurde Timthal Baghdad im Jahr 1839 fertiggestellt?,False,2010,DE
Wurde Sormovo Lenin Monument von Robert Sobociński erstellt?,False,Wassili Wassiljewitsch Koslow,DE
Wurde Sormovo Lenin Monument im Jahr 1927 fertiggestellt?,True,1927,DE
Wurde Queen Alexandra Memorial von Alfred Gilbert erstellt?,True,Alfred Gilbert,DE
Wurde Queen Alexandra Memorial im Jahr 1958 fertiggestellt?,False,1926,DE
Wurde De man van Vught von Willem Reijers erstellt?,True,Willem Reijers,DE
Wurde De man van Vught im Jahr 1973 fertiggestellt?,True,1973,DE
Wurde Monument Princesse Amélie von Giannino Castiglioni erstellt?,False,Charles Pêtre,DE
Wurde Monument Princesse Amélie im Jahr 1876 fertiggestellt?,True,1876,DE
Wurde Statue de la Brabançonne von Eduardo Castrillo erstellt?,False,Charles Samuel,DE
Wurde Statue de la Brabançonne im Jahr 1930 fertiggestellt?,True,1930,DE
Wurde Raoul Wallenberg Monument von Philip Jackson erstellt?,True,Philip Jackson,DE
Wurde Raoul Wallenberg Monument im Jahr 1921 fertiggestellt?,False,1997,DE
"Wurde Statue of Sir James Fergusson, 6th Baronet von Jean-Baptiste Belloc erstellt?",False,Goscombe John,DE
"Wurde Statue of Sir James Fergusson, 6th Baronet im Jahr 1910 fertiggestellt?",True,1910,DE
Wurde A Ramon Berenguer III von Leochares erstellt?,False,Josep Llimona i Bruguera,DE
Wurde A Ramon Berenguer III im Jahr 1967 fertiggestellt?,False,1882,DE
Wurde Monument a Bartomeu Amat von Albert Wolff erstellt?,False,Josep Llimona i Bruguera,DE
Wurde Monument a Bartomeu Amat im Jahr 1909 fertiggestellt?,True,1909,DE
Wurde Sant Jordi 175 von Jean-Baptiste Carpeaux erstellt?,False,Josep Llimona i Bruguera,DE
Wurde Sant Jordi 175 im Jahr 1923 fertiggestellt?,True,1923,DE
Wurde monument to Giuseppe Garibaldi von Augusto Rivalta erstellt?,True,Augusto Rivalta,DE
Wurde monument to Giuseppe Garibaldi im Jahr 1426 fertiggestellt?,False,1879,DE
Wurde Kreutzwald monument von Endel Taniloo erstellt?,True,Endel Taniloo,DE
Wurde Kreutzwald monument im Jahr 1433 fertiggestellt?,False,1958,DE
Wurde Fontana del Trianon von Nicola Salvi erstellt?,False,Giuliano Mozzani,DE
Wurde Fontana del Trianon im Jahr 2015 fertiggestellt?,False,1712,DE
Wurde Monument to the Meeting of Teano von José Planes erstellt?,False,Oreste Calzolari,DE
Wurde Monument to the Meeting of Teano im Jahr 1745 fertiggestellt?,False,1906,DE
Wurde Monument to Ercole and Anteo von Teodoro Vanderstruck erstellt?,True,Teodoro Vanderstruck,DE
Wurde Monument to Ercole and Anteo im Jahr 1922 fertiggestellt?,False,1684,DE
Wurde Bust of Nelson Stepanyan in Yerevan von Martin Milmore erstellt?,False,Ara Sargsian,DE
Wurde Bust of Nelson Stepanyan in Yerevan im Jahr 1828 fertiggestellt?,False,1950,DE
Wurde Gabriel Sundukyan Monument von Miklós Melocco erstellt?,False,Ara Harutyunyan,DE
Wurde Gabriel Sundukyan Monument im Jahr 1972 fertiggestellt?,True,1972,DE
Wurde Komitas Monument von Eduardo Castrillo erstellt?,False,Ara Harutyunyan,DE
Wurde Komitas Monument im Jahr 1988 fertiggestellt?,True,1988,DE
"Wurde Statue of Stepan Shaumyan, Stepanavan von Ara Harutyunyan erstellt?",True,Ara Harutyunyan,DE
"Wurde Statue of Stepan Shaumyan, Stepanavan im Jahr 1982 fertiggestellt?",True,1982,DE
Wurde Bust of Shirvanzade von Sergei Dmitrijewitsch Merkurow erstellt?,False,Ara Harutyunyan,DE
Wurde Bust of Shirvanzade im Jahr 1958 fertiggestellt?,True,1958,DE
Wurde Axel Bakunts bust von Hans Arnold erstellt?,False,Ara Harutyunyan,DE
Wurde Axel Bakunts bust im Jahr 1960 fertiggestellt?,True,1960,DE
Wurde Lion of Geghard von Maurizio Cattelan erstellt?,False,Ara Harutyunyan,DE
Wurde Lion of Geghard im Jahr 1958 fertiggestellt?,True,1958,DE
Wurde Sayat Nova monument von Charles E. Cassell erstellt?,False,Ara Harutyunyan,DE
Wurde Sayat Nova monument im Jahr 2001 fertiggestellt?,False,1963,DE
Wurde Monument to Sergey Kirov von Sinowi Moissejewitsch Wilenski erstellt?,True,Sinowi Moissejewitsch Wilenski,DE
Wurde Monument to Sergey Kirov im Jahr 1939 fertiggestellt?,True,1939,DE
Wurde monument to Paruyr Sevak von Jim Torosian erstellt?,True,Jim Torosian,DE
Wurde monument to Paruyr Sevak im Jahr 1978 fertiggestellt?,True,1978,DE
Wurde Monument to Alexander Myasnikyan von Kārlis Zāle erstellt?,False,Jim Torosian,DE
Wurde Monument to Alexander Myasnikyan im Jahr 1976 fertiggestellt?,True,1976,DE
Wurde Tscharenz-Denkmal von Jim Torosian erstellt?,True,Jim Torosian,DE
Wurde Tscharenz-Denkmal im Jahr 1807 fertiggestellt?,False,1985,DE
Wurde Bust of Nairi Zarian von Suryavarman II. erstellt?,False,Jim Torosian,DE
Wurde Bust of Nairi Zarian im Jahr 1980 fertiggestellt?,False,1974,DE
Wurde Nerses Ashtaraketsi Monument von Max Einsele erstellt?,False,Jim Torosian,DE
Wurde Nerses Ashtaraketsi Monument im Jahr 1924 fertiggestellt?,False,2007,DE
Wurde Statue of Avetik Isahakyan von Jim Torosian erstellt?,True,Jim Torosian,DE
Wurde Statue of Avetik Isahakyan im Jahr -032 fertiggestellt?,False,1975,DE
Wurde Kurgan Bessmertiya von Ghukas Chubaryan erstellt?,False,V. Gorodkov,DE
Wurde Kurgan Bessmertiya im Jahr 1967 fertiggestellt?,True,1967,DE
"Wurde ""Motherhood"" sculpture von Wacław Szymanowski erstellt?",False,Hripsime Simonjan,DE
"Wurde ""Motherhood"" sculpture im Jahr 1200 fertiggestellt?",False,1974,DE
Wurde Norayr Sisakyan Monument von Gagik Gyurjyan erstellt?,True,Gagik Gyurjyan,DE
Wurde Norayr Sisakyan Monument im Jahr 1500 fertiggestellt?,False,1987,DE
Wurde Mashtots statue von Andreas Schlüter erstellt?,False,Ara Sargsian,DE
Wurde Mashtots statue im Jahr 1832 fertiggestellt?,False,1943,DE
Wurde Lev Tolstoy's bust von Romeo Julhakyan erstellt?,True,Romeo Julhakyan,DE
Wurde Lev Tolstoy's bust im Jahr 0650 fertiggestellt?,False,1982,DE
Wurde Orbeli brothers monument von Sean Hedges-Quinn erstellt?,False,Artashes Hovsepyan,DE
Wurde Orbeli brothers monument im Jahr 1588 fertiggestellt?,False,1997,DE
Wurde Monument to Karo Halabyan von Walter Arnold erstellt?,False,Romeo Julhakyan,DE
Wurde Monument to Karo Halabyan im Jahr 1855 fertiggestellt?,False,1997,DE
Wurde Equestrian statue of Grigory Kotovsky (Chișinău) von Qin Shihuangdi erstellt?,False,Lazăr Dubinovschi,DE
Wurde Equestrian statue of Grigory Kotovsky (Chișinău) im Jahr 1867 fertiggestellt?,False,1953,DE
Wurde Statue of Lenin at the Lenin Square in Kurgan von Wladimir Jegorowitsch Jegorow erstellt?,True,Wladimir Jegorowitsch Jegorow,DE
Wurde Statue of Lenin at the Lenin Square in Kurgan im Jahr 1983 fertiggestellt?,False,1967,DE
Wurde Monument to Mikhail Lomonosov von Parmen Sabella erstellt?,True,Parmen Sabella,DE
Wurde Monument to Mikhail Lomonosov im Jahr 1993 fertiggestellt?,False,1892,DE
Wurde Statue of Lenin at the Revolution Square in Chelyabinsk von Ferdinand Hartzer erstellt?,False,Witali Semjonowitsch Saikow,DE
Wurde Statue of Lenin at the Revolution Square in Chelyabinsk im Jahr 1959 fertiggestellt?,True,1959,DE
Wurde Monument to M.P. Kirponos (Kiev) von Halyna Kaltschenko erstellt?,True,Halyna Kaltschenko,DE
Wurde Monument to M.P. Kirponos (Kiev) im Jahr 1619 fertiggestellt?,False,1973,DE
"Wurde Griboyedov statue, Yerevan von Spartak Knteghtsyan erstellt?",True,Spartak Knteghtsyan,DE
"Wurde Griboyedov statue, Yerevan im Jahr 1201 fertiggestellt?",False,1969,DE
"Wurde Monument to Vasil Levski, Plovdiv von Iwan Lasarow erstellt?",True,Iwan Lasarow,DE
"Wurde Monument to Vasil Levski, Plovdiv im Jahr 1877 fertiggestellt?",False,1942,DE
Wurde Shota Rustaveli Monument von Konstantin Michaylovitsj Merabisjvili erstellt?,True,Konstantin Michaylovitsj Merabisjvili,DE
Wurde Shota Rustaveli Monument im Jahr 0650 fertiggestellt?,False,1942,DE
Wurde Russian Winter von Albert-Ernest Carrier-Belleuse erstellt?,False,Lev Davidovich Muravin,DE
Wurde Russian Winter im Jahr 1698 fertiggestellt?,False,1960,DE
Wurde Bust of Vazgen Sargsyan von Aslan Mkhitaryan erstellt?,True,Aslan Mkhitaryan,DE
Wurde Bust of Vazgen Sargsyan im Jahr 2007 fertiggestellt?,True,2007,DE
Wurde Yezidi victims Monument von Aslan Mkhitaryan erstellt?,True,Aslan Mkhitaryan,DE
Wurde Yezidi victims Monument im Jahr 2015 fertiggestellt?,True,2015,DE
Wurde Garegin Nzhdeh Monument von Aslan Mkhitaryan erstellt?,True,Aslan Mkhitaryan,DE
Wurde Garegin Nzhdeh Monument im Jahr 1885 fertiggestellt?,False,2014,DE
Wurde Vahan Teryan Monument von Eduard Safaryan erstellt?,False,Nikolay Nikoghosyan,DE
Wurde Vahan Teryan Monument im Jahr 2007 fertiggestellt?,True,2007,DE
Wurde Monument to Alexander Pushkin von Juri Grigorjewitsch Orechow erstellt?,True,Juri Grigorjewitsch Orechow,DE
Wurde Monument to Alexander Pushkin im Jahr 1920 fertiggestellt?,False,2001,DE
Wurde Monument to Yuri Gagarin von Ernst Herter erstellt?,False,Grigori Nikolajewitsch Postnikow,DE
Wurde Monument to Yuri Gagarin im Jahr 1979 fertiggestellt?,True,1979,DE
"Wurde ""Girl from Van"" sculpture von Gustav Blaeser erstellt?",False,Hripsime Simonjan,DE
"Wurde ""Girl from Van"" sculpture im Jahr 2008 fertiggestellt?",False,1975,DE
Wurde Martiros Saryan Monument von Augusto Rivalta erstellt?,False,Arthur Tarkhanyan,DE
Wurde Martiros Saryan Monument im Jahr 1988 fertiggestellt?,False,1986,DE
Wurde Monument of Armen Tigranyan von Ferdinand Hartzer erstellt?,False,Artashes Hovsepyan,DE
Wurde Monument of Armen Tigranyan im Jahr 1987 fertiggestellt?,True,1987,DE
Wurde Vahan Teryan Monument von Norayr Karganyan erstellt?,True,Norayr Karganyan,DE
Wurde Vahan Teryan Monument im Jahr 2000 fertiggestellt?,True,2000,DE
Wurde Grigorios Maraslis Monument von Vasily Z. Boroday erstellt?,False,Boris Wassiljewitsch Eduards,DE
Wurde Grigorios Maraslis Monument im Jahr 2004 fertiggestellt?,True,2004,DE
"Wurde Stirling, Dumbarton Road, Monument To Robert Burns von Albert Hodge erstellt?",True,Albert Hodge,DE
"Wurde Stirling, Dumbarton Road, Monument To Robert Burns im Jahr 2018 fertiggestellt?",False,1914,DE
Wurde Colonel Gardiner's Monument von Alexander Handyside Ritchie erstellt?,True,Alexander Handyside Ritchie,DE
Wurde Colonel Gardiner's Monument im Jahr 1904 fertiggestellt?,False,1853,DE
Wurde Hovhannes Tumanyan monument von Ara Sargsian erstellt?,True,Ara Sargsian,DE
Wurde Hovhannes Tumanyan monument im Jahr 1939 fertiggestellt?,True,1939,DE
Wurde Mutter Armenien von Ferdinand Gehr erstellt?,False,Ara Sargsian,DE
Wurde Mutter Armenien im Jahr 1975 fertiggestellt?,True,1975,DE
Wurde Bust of Anastas Mikoyan von Georgi Kiselinchev erstellt?,False,Ara Sargsian,DE
Wurde Bust of Anastas Mikoyan im Jahr 1895 fertiggestellt?,False,1944,DE
Wurde Tigran Petrosyan's monument von Willibald Fritsch erstellt?,False,Ara Shiraz,DE
Wurde Tigran Petrosyan's monument im Jahr 1794 fertiggestellt?,False,1989,DE
Wurde Mechanics Monument von Douglas Tilden erstellt?,True,Douglas Tilden,DE
Wurde Mechanics Monument im Jahr 1901 fertiggestellt?,True,1901,DE
Wurde Lion in Monrepos von Gunnar Finne erstellt?,True,Gunnar Finne,DE
Wurde Lion in Monrepos im Jahr -032 fertiggestellt?,False,1927,DE
Wurde The Horses von Juan Oliveira erstellt?,True,Juan Oliveira,DE
Wurde The Horses im Jahr 1895 fertiggestellt?,False,1991,DE
Wurde Monument to Alfonso IX von František Bělský erstellt?,False,Juan Oliveira,DE
Wurde Monument to Alfonso IX im Jahr 1896 fertiggestellt?,False,2001,DE
Wurde Pou de Llum von Reinhold Felderhoff erstellt?,False,Fernando Prats,DE
Wurde Pou de Llum im Jahr 1841 fertiggestellt?,False,2003,DE
"Wurde Monumento a Julián Gayarre, Pamplona von Jean G. Villin erstellt?",False,Fructuoso Orduna,DE
"Wurde Monumento a Julián Gayarre, Pamplona im Jahr 1950 fertiggestellt?",True,1950,DE
Wurde Monument to Hamo Sahyan von Getik Baghdasarian erstellt?,True,Getik Baghdasarian,DE
Wurde Monument to Hamo Sahyan im Jahr 1993 fertiggestellt?,False,2004,DE
Wurde Monument to Gusan Ashot von Getik Baghdasarian erstellt?,True,Getik Baghdasarian,DE
Wurde Monument to Gusan Ashot im Jahr 2005 fertiggestellt?,True,2005,DE
Wurde Bust of Sero Khanzadyan von Erwin de Vries erstellt?,False,Getik Baghdasarian,DE
Wurde Bust of Sero Khanzadyan im Jahr 1908 fertiggestellt?,False,2004,DE
Wurde Memorial spring for Khrimyan Hayrik von Fritz Klimsch erstellt?,False,Getik Baghdasarian,DE
Wurde Memorial spring for Khrimyan Hayrik im Jahr 1926 fertiggestellt?,False,1982,DE
Wurde Monumento a Julio Romero de Torres von Vladimir Aleksandrovitsj Filatov erstellt?,False,Juan Cristóbal,DE
Wurde Monumento a Julio Romero de Torres im Jahr 1940 fertiggestellt?,True,1940,DE
Wurde Marquess of Anglesey's Column von Matthew Noble erstellt?,True,Matthew Noble,DE
Wurde Marquess of Anglesey's Column im Jahr 1816 fertiggestellt?,True,1816,DE
Wurde Battle Monument von Joseph Simon Volmar erstellt?,False,Maximilian Godefroy,DE
Wurde Battle Monument im Jahr 1991 fertiggestellt?,False,1825,DE
Wurde Monument to Victor Considerant von Marguerite Syamour erstellt?,True,Marguerite Syamour,DE
Wurde Monument to Victor Considerant im Jahr 1901 fertiggestellt?,True,1901,DE
Wurde Monument to Avetik Isahakyan von Sargis Baghdasaryan erstellt?,True,Sargis Baghdasaryan,DE
Wurde Monument to Avetik Isahakyan im Jahr 1960 fertiggestellt?,True,1960,DE
"Wurde David Bek statue, Kapan von Gustav Adolph Kietz erstellt?",False,Sargis Baghdasaryan,DE
"Wurde David Bek statue, Kapan im Jahr 1968 fertiggestellt?",False,1983,DE
Wurde Monument to Hunan Avetisyan von Bogna Czechowska erstellt?,False,Sargis Baghdasaryan,DE
Wurde Monument to Hunan Avetisyan im Jahr 1959 fertiggestellt?,True,1959,DE
Wurde Hayk Bzhishkyan statue von Fritz Klimsch erstellt?,False,Suren Nazaryan,DE
Wurde Hayk Bzhishkyan statue im Jahr 1974 fertiggestellt?,True,1974,DE
Wurde Frik Monument von Suren Nazaryan erstellt?,True,Suren Nazaryan,DE
Wurde Frik Monument im Jahr 1433 fertiggestellt?,False,1967,DE
Wurde Albert Monument von William Brodie erstellt?,True,William Brodie,DE
Wurde Albert Monument im Jahr 1864 fertiggestellt?,True,1864,DE
Wurde Maria Skłodowska-Curie monument in Warsaw von Wolfgang Stübner erstellt?,False,Ludwika Nitschowa,DE
Wurde Maria Skłodowska-Curie monument in Warsaw im Jahr 1935 fertiggestellt?,True,1935,DE
Wurde Monument als caiguts von Ruedi Baur erstellt?,False,Llucià Oslé Sáenz de Medrano,DE
Wurde Monument als caiguts im Jahr 1856 fertiggestellt?,False,1940,DE
Wurde Katyń monument at Podwale Street in Warsaw von Andrzej Renes erstellt?,True,Andrzej Renes,DE
Wurde Katyń monument at Podwale Street in Warsaw im Jahr 1998 fertiggestellt?,True,1998,DE
Wurde Józef Piłsudski Monument at the Belweder in Warsaw von Huriah Adam erstellt?,False,Stanisław Kazimierz Ostrowski,DE
Wurde Józef Piłsudski Monument at the Belweder in Warsaw im Jahr 1986 fertiggestellt?,False,1998,DE
Wurde Malczewski Monument in Radom von Stanisław Radwański erstellt?,True,Stanisław Radwański,DE
Wurde Malczewski Monument in Radom im Jahr 1985 fertiggestellt?,True,1985,DE
Wurde Equestrian statue of Dom Pedro I von João Maximiano Mafra erstellt?,True,João Maximiano Mafra,DE
Wurde Equestrian statue of Dom Pedro I im Jahr 0918 fertiggestellt?,False,1862,DE
Wurde Denkmal  von Maryčka Magdonová von Augustin Handzel erstellt?,True,Augustin Handzel,DE
Wurde Denkmal  von Maryčka Magdonová im Jahr 1988 fertiggestellt?,False,1933,DE
Wurde Pomník osvobození Rudou armádou von Marino Mazzacurati erstellt?,False,Augustin Handzel,DE
Wurde Pomník osvobození Rudou armádou im Jahr 1828 fertiggestellt?,False,1901,DE
Wurde Benedikt Roezl memorial von Čeněk Vosmík erstellt?,True,Čeněk Vosmík,DE
Wurde Benedikt Roezl memorial im Jahr 1898 fertiggestellt?,True,1898,DE
Wurde Poległym w Służbie i Obronie Polski Ludowej Monument von Jan Bohdan Chmielewski erstellt?,True,Jan Bohdan Chmielewski,DE
Wurde Poległym w Służbie i Obronie Polski Ludowej Monument im Jahr 1839 fertiggestellt?,False,1985,DE
Wurde Statue of Fryderyk Chopin in Duszniki-Zdrój von Jan Kucz erstellt?,True,Jan Kucz,DE
Wurde Statue of Fryderyk Chopin in Duszniki-Zdrój im Jahr 1881 fertiggestellt?,False,1976,DE
Wurde Bohdan Stefanowski monument in Łódź von Paul Otto erstellt?,False,Krystyna Fałdyga-Solska,DE
Wurde Bohdan Stefanowski monument in Łódź im Jahr 1983 fertiggestellt?,True,1983,DE
Wurde Frederic Chopin monument in Słupsk von Michail Jewlampjewitsch Perchin erstellt?,False,Mieczyslaw Welter,DE
Wurde Frederic Chopin monument in Słupsk im Jahr 1916 fertiggestellt?,False,1976,DE
Wurde Bike to Heaven von Krištof Kintera erstellt?,True,Krištof Kintera,DE
Wurde Bike to Heaven im Jahr 2013 fertiggestellt?,True,2013,DE
Wurde Kreuzweg zur Freiheit von Conrad Freyberg erstellt?,False,Roman Podrázský,DE
Wurde Kreuzweg zur Freiheit im Jahr 1840 fertiggestellt?,False,1996,DE
Wurde Ernst Peterson-Särgava memorial von Matti Varik erstellt?,True,Matti Varik,DE
Wurde Ernst Peterson-Särgava memorial im Jahr 1962 fertiggestellt?,False,1985,DE
Wurde Encontro entre dous mundos von Friedrich Drake erstellt?,False,Maxín Picallo,DE
Wurde Encontro entre dous mundos im Jahr 1993 fertiggestellt?,True,1993,DE
Wurde Monument to work von Luigi Rusca erstellt?,False,Ramón Conde,DE
Wurde Monument to work im Jahr 1851 fertiggestellt?,False,1991,DE
Wurde Mindaugas Monument in Vilnius von Regimantas Midvikis erstellt?,True,Regimantas Midvikis,DE
Wurde Mindaugas Monument in Vilnius im Jahr 1947 fertiggestellt?,False,2003,DE
Wurde Partisanendenkmal auf dem Makljen von Boško Kućanski erstellt?,True,Boško Kućanski,DE
Wurde Partisanendenkmal auf dem Makljen im Jahr 1780 fertiggestellt?,False,1978,DE
Wurde Algirdas Monument in Vitebsk von Joanna Piech-Kalarus erstellt?,False,Sjarhej Bandarenka,DE
Wurde Algirdas Monument in Vitebsk im Jahr 1745 fertiggestellt?,False,2014,DE
Wurde Monument to Alexander Tamanyan von Monika Larsen Dennis erstellt?,False,Artashes Hovsepyan,DE
Wurde Monument to Alexander Tamanyan im Jahr 1974 fertiggestellt?,True,1974,DE
Wurde Nikoghayos Adonts statue von David Minasyan erstellt?,False,Artashes Hovsepyan,DE
Wurde Nikoghayos Adonts statue im Jahr 1993 fertiggestellt?,True,1993,DE
Wurde Eagle statue in Sisian von José Planes erstellt?,False,Artashes Hovsepyan,DE
Wurde Eagle statue in Sisian im Jahr 1595 fertiggestellt?,False,1975,DE
Wurde Monument to Aram Khachaturyan von Willi Hahn erstellt?,False,Yuri Petrosyan,DE
Wurde Monument to Aram Khachaturyan im Jahr 1473 fertiggestellt?,False,1999,DE
Wurde Statue of Ivan Aivazovsky in Yerevan von Victor Brecheret erstellt?,False,Yuri Petrosyan,DE
Wurde Statue of Ivan Aivazovsky in Yerevan im Jahr 2003 fertiggestellt?,True,2003,DE
Wurde Awakening von Nikolaus von Kaaden erstellt?,False,Yuri Petrosyan,DE
Wurde Awakening im Jahr 2004 fertiggestellt?,True,2004,DE
Wurde Heuschreckbrunnen von Akop Albertovitsj Halafjan erstellt?,False,Willi Hahn,DE
Wurde Heuschreckbrunnen im Jahr 1892 fertiggestellt?,False,1977,DE
Wurde Breogán von Hans Gerd Ruwe erstellt?,False,Xosé Cid Menor,DE
Wurde Breogán im Jahr 1995 fertiggestellt?,True,1995,DE
Wurde Monumento al Merlú von Antonio Pedrero erstellt?,True,Antonio Pedrero,DE
Wurde Monumento al Merlú im Jahr 1946 fertiggestellt?,False,1996,DE
Wurde Statue of Queen Victoria von Francis John Williamson erstellt?,True,Francis John Williamson,DE
Wurde Statue of Queen Victoria im Jahr 1901 fertiggestellt?,True,1901,DE
Wurde Monumento a La Constitución de El Salvador von Augustin Handzel erstellt?,False,Rubén Martínez,DE
Wurde Monumento a La Constitución de El Salvador im Jahr 1990 fertiggestellt?,True,1990,DE
Wurde Pyotr Mstislavets Monument in Mscislaŭ von Aliaksandr Batwinionak erstellt?,True,Aliaksandr Batwinionak,DE
Wurde Pyotr Mstislavets Monument in Mscislaŭ im Jahr 2001 fertiggestellt?,True,2001,DE
Wurde Büste Carl Legien von Stanisław Hochuł erstellt?,False,Karl Trumpf,DE
Wurde Büste Carl Legien im Jahr 1959 fertiggestellt?,True,1959,DE
Wurde Denkmal für Kriegsopfer von Nowohrad-Wolynskyj von Josef Tabachnyk erstellt?,True,Josef Tabachnyk,DE
Wurde Denkmal für Kriegsopfer von Nowohrad-Wolynskyj im Jahr 1765 fertiggestellt?,False,1995,DE
Wurde Andrei Sakharov Monument von Ferdinand Gehr erstellt?,False,Levon Ghalumyan,DE
Wurde Andrei Sakharov Monument im Jahr 1906 fertiggestellt?,False,2001,DE
Wurde Texas Heroes Monument von Boris Wassiljewitsch Eduards erstellt?,False,Louis Amateis,DE
Wurde Texas Heroes Monument im Jahr 1912 fertiggestellt?,False,1900,DE
Wurde Catherine Sinclair Monument von John Rhind erstellt?,True,John Rhind,DE
Wurde Catherine Sinclair Monument im Jahr 1866 fertiggestellt?,True,1866,DE
Wurde Tigran Petrosyan's monument von Norayr Karganyan erstellt?,True,Norayr Karganyan,DE
Wurde Tigran Petrosyan's monument im Jahr 2006 fertiggestellt?,True,2006,DE
Wurde Forest fairy tale von Norayr Karganyan erstellt?,True,Norayr Karganyan,DE
Wurde Forest fairy tale im Jahr 2015 fertiggestellt?,False,1994,DE
Wurde Stephan Sahumyan statue in Gyumri von Adibek Grigoryan erstellt?,True,Adibek Grigoryan,DE
Wurde Stephan Sahumyan statue in Gyumri im Jahr 2007 fertiggestellt?,False,1962,DE
Wurde Toros Roslin monument von Valentin Grigorevitsj Sjtolko erstellt?,False,Arscham Schahinjan,DE
Wurde Toros Roslin monument im Jahr 1595 fertiggestellt?,False,1967,DE
"Wurde Bust of Vahan Teryan, Yerevan von Francesco Confalonieri erstellt?",False,Arscham Schahinjan,DE
"Wurde Bust of Vahan Teryan, Yerevan im Jahr 1841 fertiggestellt?",False,1965,DE
Wurde Bust of Raffi von Manuel Gómez Román erstellt?,False,Arscham Schahinjan,DE
Wurde Bust of Raffi im Jahr 1860 fertiggestellt?,False,1987,DE
Wurde Monument to Ivan Isakov von Gevorg Gevorgyan erstellt?,True,Gevorg Gevorgyan,DE
Wurde Monument to Ivan Isakov im Jahr 1982 fertiggestellt?,False,2005,DE
Wurde Monument for 100th anniversary of Armenian Relief Society (HOM) von Gevorg Gevorgyan erstellt?,True,Gevorg Gevorgyan,DE
Wurde Monument for 100th anniversary of Armenian Relief Society (HOM) im Jahr 1993 fertiggestellt?,False,2011,DE
Wurde Monument to Family von Gevorg Gevorgyan erstellt?,True,Gevorg Gevorgyan,DE
