language,question,correct_answer
FR,En quelle année Portrait de l'artiste a-t-il été achevé?,1796
DE,Wer ist der Schöpfer von Portrait of the artist?,Marie-Guillemine Benoist
DE,In welchem Jahr wurde Portrait of the artist fertiggestellt?,1796
TR,Portrait of the artist'in yaratıcısı kim?,Marie-Guillemine Benoist
TR,Portrait of the artist hangi yılda tamamlandı?,1796
JA,Portrait of the artist の創作者は誰ですか？,マリー＝ギエルミーヌ・ブノワ
JA,Portrait of the artist は何年に完成しましたか？,1796
EN,Who is the creator of Portrait of Madame de Champcenetz?,Jean-Baptiste Greuze
EN,In which year was Portrait of Madame de Champcenetz completed?,1770
FR,Qui est le créateur de Portrait de Madame de Champcenetz?,Jean-Baptiste Greuze
FR,En quelle année Portrait de Madame de Champcenetz a-t-il été achevé?,1770
DE,Wer ist der Schöpfer von Portrait of Madame de Champcenetz?,Jean-Baptiste Greuze
DE,In welchem Jahr wurde Portrait of Madame de Champcenetz fertiggestellt?,1770
TR,Portrait of Madame de Champcenetz'in yaratıcısı kim?,Jean-Baptiste Greuze
TR,Portrait of Madame de Champcenetz hangi yılda tamamlandı?,1770
JA,Portrait of Madame de Champcenetz の創作者は誰ですか？,ジャン＝バティスト・グルーズ
JA,Portrait of Madame de Champcenetz は何年に完成しましたか？,1770
EN,"Who is the creator of Arrival of Archduchess Marie-Louise in Compiègne, 1810?",Pauline Auzou
EN,"In which year was Arrival of Archduchess Marie-Louise in Compiègne, 1810 completed?",1810
FR,"Qui est le créateur de Arrivée de l'archiduchesse Marie-Louise à Compiègne, 28 mars 1810?",Pauline Auzou
FR,"En quelle année Arrivée de l'archiduchesse Marie-Louise à Compiègne, 28 mars 1810 a-t-il été achevé?",1810
DE,"Wer ist der Schöpfer von Arrival of Archduchess Marie-Louise in Compiègne, 1810?",Pauline Auzou
DE,"In welchem Jahr wurde Arrival of Archduchess Marie-Louise in Compiègne, 1810 fertiggestellt?",1810
TR,"Arrival of Archduchess Marie-Louise in Compiègne, 1810'in yaratıcısı kim?",Pauline Auzou
TR,"Arrival of Archduchess Marie-Louise in Compiègne, 1810 hangi yılda tamamlandı?",1810
JA,"Arrival of Archduchess Marie-Louise in Compiègne, 1810 の創作者は誰ですか？",Pauline Auzou
JA,"Arrival of Archduchess Marie-Louise in Compiègne, 1810 は何年に完成しましたか？",1810
EN,Who is the creator of A corner of Place de la Concorde in Paris?,Giuseppe De Nittis
EN,In which year was A corner of Place de la Concorde in Paris completed?,1880
FR,Qui est le créateur de Un coin de la Place de la Concorde à Paris?,Giuseppe De Nittis
FR,En quelle année Un coin de la Place de la Concorde à Paris a-t-il été achevé?,1880
DE,Wer ist der Schöpfer von A corner of Place de la Concorde in Paris?,Giuseppe de Nittis
DE,In welchem Jahr wurde A corner of Place de la Concorde in Paris fertiggestellt?,1880
TR,A corner of Place de la Concorde in Paris'in yaratıcısı kim?,Giuseppe De Nittis
TR,A corner of Place de la Concorde in Paris hangi yılda tamamlandı?,1880
JA,A corner of Place de la Concorde in Paris の創作者は誰ですか？,ジュゼッペ・デ・ニッティス
JA,A corner of Place de la Concorde in Paris は何年に完成しましたか？,1880
EN,Who is the creator of Portrait of Ours-Joseph-Augustin de Besenval?,Hortense Haudebourt-Lescot
EN,In which year was Portrait of Ours-Joseph-Augustin de Besenval completed?,1832
FR,Qui est le créateur de Portrait d'Ours-Joseph-Augustin de Besenval?,Hortense Haudebourt-Lescot
FR,En quelle année Portrait d'Ours-Joseph-Augustin de Besenval a-t-il été achevé?,1832
DE,Wer ist der Schöpfer von Portrait of Ours-Joseph-Augustin de Besenval?,Hortense Haudebourt-Lescot
DE,In welchem Jahr wurde Portrait of Ours-Joseph-Augustin de Besenval fertiggestellt?,1832
TR,Portrait of Ours-Joseph-Augustin de Besenval'in yaratıcısı kim?,Hortense Haudebourt-Lescot
TR,Portrait of Ours-Joseph-Augustin de Besenval hangi yılda tamamlandı?,1832
JA,Portrait of Ours-Joseph-Augustin de Besenval の創作者は誰ですか？,オルテンス・オードブール＝レスコー
JA,Portrait of Ours-Joseph-Augustin de Besenval は何年に完成しましたか？,1832
EN,"Who is the creator of Portrait of Denis-Louis, marquis d'Hozier?",Antoine Vestier
EN,"In which year was Portrait of Denis-Louis, marquis d'Hozier completed?",1766
FR,"Qui est le créateur de Portrait de Denis-Louis, marquis d'Hozier?",Antoine Vestier
FR,"En quelle année Portrait de Denis-Louis, marquis d'Hozier a-t-il été achevé?",1766
DE,"Wer ist der Schöpfer von Portrait of Denis-Louis, marquis d'Hozier?",Antoine Vestier
DE,"In welchem Jahr wurde Portrait of Denis-Louis, marquis d'Hozier fertiggestellt?",1766
TR,"Portrait of Denis-Louis, marquis d'Hozier'in yaratıcısı kim?",Antoine Vestier
TR,"Portrait of Denis-Louis, marquis d'Hozier hangi yılda tamamlandı?",1766
JA,"Portrait of Denis-Louis, marquis d'Hozier の創作者は誰ですか？",アントワーヌ・ベスティエ
JA,"Portrait of Denis-Louis, marquis d'Hozier は何年に完成しましたか？",1766
EN,Who is the creator of Young Girl Feeding Chickens?,Jeanne-Elisabeth Chaudet
EN,In which year was Young Girl Feeding Chickens completed?,1802
FR,Qui est le créateur de Une jeune fille donnant à manger à des poulets?,Jeanne-Élisabeth Chaudet
FR,En quelle année Une jeune fille donnant à manger à des poulets a-t-il été achevé?,1802
DE,Wer ist der Schöpfer von Young Girl Feeding Chickens?,Jeanne-Elisabeth Chaudet
DE,In welchem Jahr wurde Young Girl Feeding Chickens fertiggestellt?,1802
TR,Young Girl Feeding Chickens'in yaratıcısı kim?,Jeanne-Elisabeth Chaudet
TR,Young Girl Feeding Chickens hangi yılda tamamlandı?,1802
JA,Young Girl Feeding Chickens の創作者は誰ですか？,ジャンヌ＝エリザベート・ショーデ
JA,Young Girl Feeding Chickens は何年に完成しましたか？,1802
EN,"Who is the creator of The Pont des Arts, Paris?",Pierre-Auguste Renoir
EN,"In which year was The Pont des Arts, Paris completed?",1867
FR,Qui est le créateur de Le pont des Arts et l'Institut?,Auguste Renoir
FR,En quelle année Le pont des Arts et l'Institut a-t-il été achevé?,1867
DE,"Wer ist der Schöpfer von The Pont des Arts, Paris?",Pierre-Auguste Renoir
DE,"In welchem Jahr wurde The Pont des Arts, Paris fertiggestellt?",1867
TR,"The Pont des Arts, Paris'in yaratıcısı kim?",Auguste Renoir
TR,"The Pont des Arts, Paris hangi yılda tamamlandı?",1867
JA,"The Pont des Arts, Paris の創作者は誰ですか？",ピエール＝オーギュスト・ルノワール
JA,"The Pont des Arts, Paris は何年に完成しましたか？",1867
EN,Who is the creator of Lise holding a bunch of wild flowers?,Pierre-Auguste Renoir
EN,In which year was Lise holding a bunch of wild flowers completed?,1867
FR,Qui est le créateur de Lise holding a bunch of wild flowers?,Auguste Renoir
FR,En quelle année Lise holding a bunch of wild flowers a-t-il été achevé?,1867
DE,Wer ist der Schöpfer von Lise holding a bunch of wild flowers?,Pierre-Auguste Renoir
DE,In welchem Jahr wurde Lise holding a bunch of wild flowers fertiggestellt?,1867
TR,Lise holding a bunch of wild flowers'in yaratıcısı kim?,Auguste Renoir
TR,Lise holding a bunch of wild flowers hangi yılda tamamlandı?,1867
JA,Lise holding a bunch of wild flowers の創作者は誰ですか？,ピエール＝オーギュスト・ルノワール
JA,Lise holding a bunch of wild flowers は何年に完成しましたか？,1867
EN,"Who is the creator of Portraits of Prosper and Denys Benoist, the artist's sons?",Marie-Guillemine Benoist
EN,"In which year was Portraits of Prosper and Denys Benoist, the artist's sons completed?",1797
FR,"Qui est le créateur de Portrait de Prosper et Denys Benoist, fils de l'artiste?",Marie-Guillemine Benoist
FR,"En quelle année Portrait de Prosper et Denys Benoist, fils de l'artiste a-t-il été achevé?",1797
DE,"Wer ist der Schöpfer von Portraits of Prosper and Denys Benoist, the artist's sons?",Marie-Guillemine Benoist
DE,"In welchem Jahr wurde Portraits of Prosper and Denys Benoist, the artist's sons fertiggestellt?",1797
TR,"Portraits of Prosper and Denys Benoist, the artist's sons'in yaratıcısı kim?",Marie-Guillemine Benoist
TR,"Portraits of Prosper and Denys Benoist, the artist's sons hangi yılda tamamlandı?",1797
JA,"Portraits of Prosper and Denys Benoist, the artist's sons の創作者は誰ですか？",マリー＝ギエルミーヌ・ブノワ
JA,"Portraits of Prosper and Denys Benoist, the artist's sons は何年に完成しましたか？",1797
EN,Who is the creator of The Crowning with Thorns?,Gustave Moreau
EN,In which year was The Crowning with Thorns completed?,1846
FR,Qui est le créateur de Le Couronnement d'épines?,Gustave Moreau
FR,En quelle année Le Couronnement d'épines a-t-il été achevé?,1846
DE,Wer ist der Schöpfer von Dornenkrönung?,Gustave Moreau
DE,In welchem Jahr wurde Dornenkrönung fertiggestellt?,1846
TR,The Crowning with Thorns'in yaratıcısı kim?,Gustave Moreau
TR,The Crowning with Thorns hangi yılda tamamlandı?,1846
JA,The Crowning with Thorns の創作者は誰ですか？,ギュスターヴ・モロー
JA,The Crowning with Thorns は何年に完成しましたか？,1846
EN,Who is the creator of Still Life with Flowers in an Alabaster Vase and Fruit?,Anne Vallayer-Coster
EN,In which year was Still Life with Flowers in an Alabaster Vase and Fruit completed?,1783
FR,"Qui est le créateur de Nature morte au vase d’albâtre rempli de fleurs avec sur une table plusieurs espèces de fruits, comme ananas, pêches et raisins?",Anne Vallayer-Coster
FR,"En quelle année Nature morte au vase d’albâtre rempli de fleurs avec sur une table plusieurs espèces de fruits, comme ananas, pêches et raisins a-t-il été achevé?",1783
DE,Wer ist der Schöpfer von Still Life with Flowers in an Alabaster Vase and Fruit?,Anne Vallayer-Coster
DE,In welchem Jahr wurde Still Life with Flowers in an Alabaster Vase and Fruit fertiggestellt?,1783
TR,Still Life with Flowers in an Alabaster Vase and Fruit'in yaratıcısı kim?,Anne Vallayer-Coster
TR,Still Life with Flowers in an Alabaster Vase and Fruit hangi yılda tamamlandı?,1783
JA,Still Life with Flowers in an Alabaster Vase and Fruit の創作者は誰ですか？,アンヌ・ヴァライエ＝コステル
JA,Still Life with Flowers in an Alabaster Vase and Fruit は何年に完成しましたか？,1783
EN,Who is the creator of Madame de Saint-Huberty in the Role of Dido?,Anne Vallayer-Coster
EN,In which year was Madame de Saint-Huberty in the Role of Dido completed?,1785
FR,Qui est le créateur de Madame de Saint-Huberty dans le rôle de Didon?,Anne Vallayer-Coster
FR,En quelle année Madame de Saint-Huberty dans le rôle de Didon a-t-il été achevé?,1785
DE,Wer ist der Schöpfer von Madame de Saint-Huberty in the Role of Dido?,Anne Vallayer-Coster
DE,In welchem Jahr wurde Madame de Saint-Huberty in the Role of Dido fertiggestellt?,1785
TR,Madame de Saint-Huberty in the Role of Dido'in yaratıcısı kim?,Anne Vallayer-Coster
TR,Madame de Saint-Huberty in the Role of Dido hangi yılda tamamlandı?,1785
JA,Madame de Saint-Huberty in the Role of Dido の創作者は誰ですか？,アンヌ・ヴァライエ＝コステル
JA,Madame de Saint-Huberty in the Role of Dido は何年に完成しましたか？,1785
EN,Who is the creator of Portrait of a Child of Madame Porter?,William-Adolphe Bouguereau
EN,In which year was Portrait of a Child of Madame Porter completed?,1889
FR,Qui est le créateur de Portrait d'un enfant de Madame Porter?,William Bouguereau
FR,En quelle année Portrait d'un enfant de Madame Porter a-t-il été achevé?,1889
DE,Wer ist der Schöpfer von Portrait of a Child of Madame Porter?,William Adolphe Bouguereau
DE,In welchem Jahr wurde Portrait of a Child of Madame Porter fertiggestellt?,1889
TR,Portrait of a Child of Madame Porter'in yaratıcısı kim?,William-Adolphe Bouguereau
TR,Portrait of a Child of Madame Porter hangi yılda tamamlandı?,1889
JA,Portrait of a Child of Madame Porter の創作者は誰ですか？,ウィリアム・アドルフ・ブグロー
JA,Portrait of a Child of Madame Porter は何年に完成しましたか？,1889
EN,Who is the creator of Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi?,Marie-Victoire Lemoine
EN,In which year was Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi completed?,1802
FR,Qui est le créateur de Portrait présumé de Marie-Geneviève Lemoine et sa fille Anne Aglaé Deluchi?,Marie-Victoire Lemoine
FR,En quelle année Portrait présumé de Marie-Geneviève Lemoine et sa fille Anne Aglaé Deluchi a-t-il été achevé?,1802
DE,Wer ist der Schöpfer von Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi?,Marie-Victoire Lemoine
DE,In welchem Jahr wurde Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi fertiggestellt?,1802
TR,Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi'in yaratıcısı kim?,Marie-Victoire Lemoine
TR,Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi hangi yılda tamamlandı?,1802
JA,Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi の創作者は誰ですか？,マリー＝ヴィクトワール・ルモワーヌ
JA,Presumed portrait of Marie-Geneviève Lemoine and her daughter Anne Aglaé Deluchi は何年に完成しましたか？,1802
EN,Who is the creator of A young woman leaning on the edge of a window?,Marie-Victoire Lemoine
EN,In which year was A young woman leaning on the edge of a window completed?,1799
FR,Qui est le créateur de Une jeune femme appuyée sur le bord d’une croisée?,Marie-Victoire Lemoine
FR,En quelle année Une jeune femme appuyée sur le bord d’une croisée a-t-il été achevé?,1799
DE,Wer ist der Schöpfer von A young woman leaning on the edge of a window?,Marie-Victoire Lemoine
DE,In welchem Jahr wurde A young woman leaning on the edge of a window fertiggestellt?,1799
TR,A young woman leaning on the edge of a window'in yaratıcısı kim?,Marie-Victoire Lemoine
TR,A young woman leaning on the edge of a window hangi yılda tamamlandı?,1799
JA,A young woman leaning on the edge of a window の創作者は誰ですか？,マリー＝ヴィクトワール・ルモワーヌ
JA,A young woman leaning on the edge of a window は何年に完成しましたか？,1799
EN,"Who is the creator of Telemachus, Urged by Mentor, Leaving the Island of Calypso?",Charles Meynier
EN,"In which year was Telemachus, Urged by Mentor, Leaving the Island of Calypso completed?",1800
FR,"Qui est le créateur de Télémaque, pressé par Mentor, quitte l’île de Calypso?",Charles Meynier
FR,"En quelle année Télémaque, pressé par Mentor, quitte l’île de Calypso a-t-il été achevé?",1800
DE,"Wer ist der Schöpfer von Telemachus, Urged by Mentor, Leaving the Island of Calypso?",Charles Meynier
DE,"In welchem Jahr wurde Telemachus, Urged by Mentor, Leaving the Island of Calypso fertiggestellt?",1800
TR,"Telemachus, Urged by Mentor, Leaving the Island of Calypso'in yaratıcısı kim?",Charles Meynier
TR,"Telemachus, Urged by Mentor, Leaving the Island of Calypso hangi yılda tamamlandı?",1800
JA,"Telemachus, Urged by Mentor, Leaving the Island of Calypso の創作者は誰ですか？",シャルル・メニエ
JA,"Telemachus, Urged by Mentor, Leaving the Island of Calypso は何年に完成しましたか？",1800
EN,Who is the creator of Gil Blas at Corcuello's?,Hortense Haudebourt-Lescot
EN,In which year was Gil Blas at Corcuello's completed?,1826
FR,Qui est le créateur de Gil Blas chez l'hôte Corcuello?,Hortense Haudebourt-Lescot
FR,En quelle année Gil Blas chez l'hôte Corcuello a-t-il été achevé?,1826
DE,Wer ist der Schöpfer von Gil Blas at Corcuello's?,Hortense Haudebourt-Lescot
DE,In welchem Jahr wurde Gil Blas at Corcuello's fertiggestellt?,1826
TR,Gil Blas at Corcuello's'in yaratıcısı kim?,Hortense Haudebourt-Lescot
TR,Gil Blas at Corcuello's hangi yılda tamamlandı?,1826
JA,Gil Blas at Corcuello's の創作者は誰ですか？,オルテンス・オードブール＝レスコー
JA,Gil Blas at Corcuello's は何年に完成しましたか？,1826
EN,Who is the creator of Portrait of a young woman leaning on a meridienne?,Louise Hersent
EN,In which year was Portrait of a young woman leaning on a meridienne completed?,1828
FR,Qui est le créateur de Portrait d’une jeune femme accoudée à une méridienne?,Louise Hersent
FR,En quelle année Portrait d’une jeune femme accoudée à une méridienne a-t-il été achevé?,1828
DE,Wer ist der Schöpfer von Portrait of a young woman leaning on a meridienne?,Louise Hersent
DE,In welchem Jahr wurde Portrait of a young woman leaning on a meridienne fertiggestellt?,1828
TR,Portrait of a young woman leaning on a meridienne'in yaratıcısı kim?,Louise Hersent
TR,Portrait of a young woman leaning on a meridienne hangi yılda tamamlandı?,1828
JA,Portrait of a young woman leaning on a meridienne の創作者は誰ですか？,ルイーズ・マリ＝ジャンヌ・エルサン
JA,Portrait of a young woman leaning on a meridienne は何年に完成しましたか？,1828
EN,"Who is the creator of Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou?",Adèle Romany
EN,"In which year was Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou completed?",1795
FR,"Qui est le créateur de Portrait d'une artiste, traditionnellement identifiée à Mademoiselle Halbou?",Adèle Romany
FR,"En quelle année Portrait d'une artiste, traditionnellement identifiée à Mademoiselle Halbou a-t-il été achevé?",1795
DE,"Wer ist der Schöpfer von Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou?",Adèle Romany
DE,"In welchem Jahr wurde Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou fertiggestellt?",1795
TR,"Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou'in yaratıcısı kim?",Adèle Romany
TR,"Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou hangi yılda tamamlandı?",1795
JA,"Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou の創作者は誰ですか？",アデル・ローマニー
JA,"Portrait of an Artist, Traditionally Identified as Mademoiselle Halbou は何年に完成しましたか？",1795
EN,Who is the creator of Self-Portrait with Straw Hat and Palette?,Marie-Élisabeth Gabiou
EN,In which year was Self-Portrait with Straw Hat and Palette completed?,1795
FR,Qui est le créateur de Autoportrait au chapeau de paille et à la palette?,Marie-Élisabeth Gabiou
FR,En quelle année Autoportrait au chapeau de paille et à la palette a-t-il été achevé?,1795
DE,Wer ist der Schöpfer von Self-Portrait with Straw Hat and Palette?,Marie-Élisabeth Gabiou
DE,In welchem Jahr wurde Self-Portrait with Straw Hat and Palette fertiggestellt?,1795
TR,Self-Portrait with Straw Hat and Palette'in yaratıcısı kim?,Marie-Élisabeth Gabiou
TR,Self-Portrait with Straw Hat and Palette hangi yılda tamamlandı?,1795
JA,Self-Portrait with Straw Hat and Palette の創作者は誰ですか？,Marie-Élisabeth Gabiou
JA,Self-Portrait with Straw Hat and Palette は何年に完成しましたか？,1795
EN,Who is the creator of An Indian armed with a Gurkha knife?,Eugène Delacroix
EN,In which year was An Indian armed with a Gurkha knife completed?,1830
FR,Qui est le créateur de Un Indien armé du Gourka-kree?,Eugène Delacroix
FR,En quelle année Un Indien armé du Gourka-kree a-t-il été achevé?,1830
DE,Wer ist der Schöpfer von An Indian armed with a Gurkha knife?,Eugène Delacroix
DE,In welchem Jahr wurde An Indian armed with a Gurkha knife fertiggestellt?,1830
TR,An Indian armed with a Gurkha knife'in yaratıcısı kim?,Eugène Delacroix
TR,An Indian armed with a Gurkha knife hangi yılda tamamlandı?,1830
JA,An Indian armed with a Gurkha knife の創作者は誰ですか？,ウジェーヌ・ドラクロワ
JA,An Indian armed with a Gurkha knife は何年に完成しましたか？,1830
EN,Who is the creator of A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came?,Marguerite Gérard
EN,In which year was A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came completed?,1808
FR,Qui est le créateur de Une jeune femme venant de recevoir une lettre de son époux. Son père cherche sur un globe la distance d’où la lettre est partie?,Marguerite Gérard
FR,En quelle année Une jeune femme venant de recevoir une lettre de son époux. Son père cherche sur un globe la distance d’où la lettre est partie a-t-il été achevé?,1808
DE,Wer ist der Schöpfer von A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came?,Marguerite Gérard
DE,In welchem Jahr wurde A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came fertiggestellt?,1808
TR,A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came'in yaratıcısı kim?,Marguerite Gérard
TR,A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came hangi yılda tamamlandı?,1808
JA,A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came の創作者は誰ですか？,マルグリート・ジェラルド
JA,A Young Woman who has just Received a Letter from her Husband. Her Father is looking on a Globe for the Distance from Which the Letter Came は何年に完成しましたか？,1808
EN,Who is the creator of The Nursing Mother?,Marguerite Gérard
EN,In which year was The Nursing Mother completed?,1804
FR,Qui est le créateur de La Mère nourrice?,Marguerite Gérard
FR,En quelle année La Mère nourrice a-t-il été achevé?,1804
DE,Wer ist der Schöpfer von The Nursing Mother?,Marguerite Gérard
DE,In welchem Jahr wurde The Nursing Mother fertiggestellt?,1804
TR,The Nursing Mother'in yaratıcısı kim?,Marguerite Gérard
TR,The Nursing Mother hangi yılda tamamlandı?,1804
JA,The Nursing Mother の創作者は誰ですか？,マルグリート・ジェラルド
JA,The Nursing Mother は何年に完成しましたか？,1804
EN,Who is the creator of The Capricious Child (L’enfant capricieux)?,Marguerite Gérard
EN,In which year was The Capricious Child (L’enfant capricieux) completed?,1804
FR,Qui est le créateur de L’Enfant capricieux?,Marguerite Gérard
FR,En quelle année L’Enfant capricieux a-t-il été achevé?,1804
DE,Wer ist der Schöpfer von The Capricious Child (L’enfant capricieux)?,Marguerite Gérard
DE,In welchem Jahr wurde The Capricious Child (L’enfant capricieux) fertiggestellt?,1804
TR,The Capricious Child (L’enfant capricieux)'in yaratıcısı kim?,Marguerite Gérard
TR,The Capricious Child (L’enfant capricieux) hangi yılda tamamlandı?,1804
JA,The Capricious Child (L’enfant capricieux) の創作者は誰ですか？,マルグリート・ジェラルド
JA,The Capricious Child (L’enfant capricieux) は何年に完成しましたか？,1804
EN,Who is the creator of The Sleeping?,Raphaël Collin
EN,In which year was The Sleeping completed?,1892
FR,Qui est le créateur de The Sleeping?,Louis-Joseph-Raphaël Collin
FR,En quelle année The Sleeping a-t-il été achevé?,1892
DE,Wer ist der Schöpfer von The Sleeping?,Raphaël Collin
DE,In welchem Jahr wurde The Sleeping fertiggestellt?,1892
TR,The Sleeping'in yaratıcısı kim?,Louis-Joseph-Raphaël Collin
TR,The Sleeping hangi yılda tamamlandı?,1892
JA,眠り の創作者は誰ですか？,ラファエル・コラン
JA,眠り は何年に完成しましたか？,1892
EN,Who is the creator of Portrait of Sir Robert Laird Borden?,William Orpen
EN,In which year was Portrait of Sir Robert Laird Borden completed?,1919
FR,Qui est le créateur de Portrait de Sir Robert Laird Borden?,William Orpen
FR,En quelle année Portrait de Sir Robert Laird Borden a-t-il été achevé?,1919
DE,Wer ist der Schöpfer von Portrait of Sir Robert Laird Borden?,William Orpen
DE,In welchem Jahr wurde Portrait of Sir Robert Laird Borden fertiggestellt?,1919
TR,Portrait of Sir Robert Laird Borden'in yaratıcısı kim?,William Orpen
TR,Portrait of Sir Robert Laird Borden hangi yılda tamamlandı?,1919
JA,Portrait of Sir Robert Laird Borden の創作者は誰ですか？,ウィリアム・オルペン
JA,Portrait of Sir Robert Laird Borden は何年に完成しましたか？,1919
EN,"Who is the creator of Portrait of Camillo Borghese, duke of Guastalla?",François Kinson
EN,"In which year was Portrait of Camillo Borghese, duke of Guastalla completed?",1808
FR,"Qui est le créateur de Le Prince Camille Borghèse, duc de Guastalla, en uniforme de général de division?",François-Joseph Kinson
FR,"En quelle année Le Prince Camille Borghèse, duc de Guastalla, en uniforme de général de division a-t-il été achevé?",1808
DE,"Wer ist der Schöpfer von Portrait of Camillo Borghese, duke of Guastalla?",François-Josèphe Kinson
DE,"In welchem Jahr wurde Portrait of Camillo Borghese, duke of Guastalla fertiggestellt?",1808
TR,"Portrait of Camillo Borghese, duke of Guastalla'in yaratıcısı kim?",François Kinson
TR,"Portrait of Camillo Borghese, duke of Guastalla hangi yılda tamamlandı?",1808
JA,"Portrait of Camillo Borghese, duke of Guastalla の創作者は誰ですか？",François Kinson
JA,"Portrait of Camillo Borghese, duke of Guastalla は何年に完成しましたか？",1808
EN,Who is the creator of Sophie Unternährer at her easel?,François Bonvin
EN,In which year was Sophie Unternährer at her easel completed?,1848
FR,Qui est le créateur de Sophie Unternährer à son chevalet?,François Bonvin
FR,En quelle année Sophie Unternährer à son chevalet a-t-il été achevé?,1848
DE,Wer ist der Schöpfer von Sophie Unternährer at her easel?,François Bonvin
DE,In welchem Jahr wurde Sophie Unternährer at her easel fertiggestellt?,1848
TR,Sophie Unternährer at her easel'in yaratıcısı kim?,François Bonvin
TR,Sophie Unternährer at her easel hangi yılda tamamlandı?,1848
JA,Sophie Unternährer at her easel の創作者は誰ですか？,フランソワ・ボンヴァン
JA,Sophie Unternährer at her easel は何年に完成しましたか？,1848
EN,"Who is the creator of Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784?",Alexis-Joseph Pérignon
EN,"In which year was Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784 completed?",1859
FR,"Qui est le créateur de La reine Marie-Antoinette ramassant les pinceaux d'Elisabeth Vigée Le Brun, 1784?",Alexis-Joseph Pérignon
FR,"En quelle année La reine Marie-Antoinette ramassant les pinceaux d'Elisabeth Vigée Le Brun, 1784 a-t-il été achevé?",1859
DE,"Wer ist der Schöpfer von Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784?",Alexis Joseph Perignon
DE,"In welchem Jahr wurde Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784 fertiggestellt?",1859
TR,"Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784'in yaratıcısı kim?",Alexis-Joseph Pérignon
TR,"Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784 hangi yılda tamamlandı?",1859
JA,"Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784 の創作者は誰ですか？",Alexis-Joseph Pérignon
JA,"Marie Antoinette Gathering the Brushes of Madame Vigée Le Brun, 1784 は何年に完成しましたか？",1859
EN,"Who is the creator of Guillaume-Marie-Anne, maréchal Brune?",Eugène Battaille
EN,"In which year was Guillaume-Marie-Anne, maréchal Brune completed?",1853
FR,"Qui est le créateur de Guillaume-Marie-Anne, maréchal Brune?",Eugène Battaille
FR,"En quelle année Guillaume-Marie-Anne, maréchal Brune a-t-il été achevé?",1853
DE,"Wer ist der Schöpfer von Guillaume-Marie-Anne, maréchal Brune?",Eugène Battaille
DE,"In welchem Jahr wurde Guillaume-Marie-Anne, maréchal Brune fertiggestellt?",1853
TR,"Guillaume-Marie-Anne, maréchal Brune'in yaratıcısı kim?",Eugène Battaille
TR,"Guillaume-Marie-Anne, maréchal Brune hangi yılda tamamlandı?",1853
JA,"Guillaume-Marie-Anne, maréchal Brune の創作者は誰ですか？",Eugène Battaille
JA,"Guillaume-Marie-Anne, maréchal Brune は何年に完成しましたか？",1853
EN,Who is the creator of Louis XIII and Mlle de La Fayette?,Eugénie Servières
EN,In which year was Louis XIII and Mlle de La Fayette completed?,1817
FR,Qui est le créateur de Louis XIII et Mlle de La Fayette?,Eugénie Servières
FR,En quelle année Louis XIII et Mlle de La Fayette a-t-il été achevé?,1817
DE,Wer ist der Schöpfer von Louis XIII and Mlle de La Fayette?,Eugénie Charen
DE,In welchem Jahr wurde Louis XIII and Mlle de La Fayette fertiggestellt?,1817
TR,Louis XIII and Mlle de La Fayette'in yaratıcısı kim?,Eugénie Servières
TR,Louis XIII and Mlle de La Fayette hangi yılda tamamlandı?,1817
JA,Louis XIII and Mlle de La Fayette の創作者は誰ですか？,Eugénie Servières
JA,Louis XIII and Mlle de La Fayette は何年に完成しましたか？,1817
